SuperWEB2(tm)

"Household"
"Household size - 5 groups, collapsed, Type of accomodation, Household composition - 10 groups, collapsed and Number of cars or vans - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"


"Household size - 5 groups, collapsed","Type of accomodation","Household composition - 10 groups, collapsed","Number of cars or vans - 3 groups, collapsed",
,,"One family household: Lone parent: With dependent children","Number of cars or vans in household: No cars or vans",618,
,,,"Number of cars or vans in household: One car or van",928,
,,,"Number of cars or vans in household: Two or more cars or vans",401,
,,"One family household: Lone parent: All children non-dependent","Number of cars or vans in household: No cars or vans",10,
,,,"Number of cars or vans in household: One car or van",18,
,,,"Number of cars or vans in household: Two or more cars or vans",31,
,,"Other household types: With dependent children","Number of cars or vans in household: No cars or vans",305,
,,,"Number of cars or vans in household: One car or van",999,
,,,"Number of cars or vans in household: Two or more cars or vans",2858,
,,"Other household types: Other (including all full-time students and all aged 66 and over)","Number of cars or vans in household: No cars or vans",76,
,,,"Number of cars or vans in household: One car or van",165,
,,,"Number of cars or vans in household: Two or more cars or vans",654,
,"Whole house or bungalow: Terraced (including end-terrace)","One person household: Aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One person household: Aged under 66","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: All aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: No children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: With dependent children","Number of cars or vans in household: No cars or vans",1183,
,,,"Number of cars or vans in household: One car or van",5723,
,,,"Number of cars or vans in household: Two or more cars or vans",7687,
,,"One family household: Couple family: All children non-dependent","Number of cars or vans in household: No cars or vans",61,
,,,"Number of cars or vans in household: One car or van",208,
,,,"Number of cars or vans in household: Two or more cars or vans",654,
,,"One family household: Lone parent: With dependent children","Number of cars or vans in household: No cars or vans",529,
,,,"Number of cars or vans in household: One car or van",752,
,,,"Number of cars or vans in household: Two or more cars or vans",268,
,,"One family household: Lone parent: All children non-dependent","Number of cars or vans in household: No cars or vans",8,
,,,"Number of cars or vans in household: One car or van",15,
,,,"Number of cars or vans in household: Two or more cars or vans",18,
,,"Other household types: With dependent children","Number of cars or vans in household: No cars or vans",273,
,,,"Number of cars or vans in household: One car or van",818,
,,,"Number of cars or vans in household: Two or more cars or vans",1663,
,,"Other household types: Other (including all full-time students and all aged 66 and over)","Number of cars or vans in household: No cars or vans",69,
,,,"Number of cars or vans in household: One car or van",135,
,,,"Number of cars or vans in household: Two or more cars or vans",378,
,"Flat, maisonette or apartment: Purpose-built block of flats or tenement","One person household: Aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One person household: Aged under 66","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: All aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: No children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: With dependent children","Number of cars or vans in household: No cars or vans",2826,
,,,"Number of cars or vans in household: One car or van",5150,
,,,"Number of cars or vans in household: Two or more cars or vans",2842,
,,"One family household: Couple family: All children non-dependent","Number of cars or vans in household: No cars or vans",97,
,,,"Number of cars or vans in household: One car or van",149,
,,,"Number of cars or vans in household: Two or more cars or vans",233,
,,"One family household: Lone parent: With dependent children","Number of cars or vans in household: No cars or vans",870,
,,,"Number of cars or vans in household: One car or van",652,
,,,"Number of cars or vans in household: Two or more cars or vans",146,
,,"One family household: Lone parent: All children non-dependent","Number of cars or vans in household: No cars or vans",20,
,,,"Number of cars or vans in household: One car or van",11,
,,,"Number of cars or vans in household: Two or more cars or vans",16,
,,"Other household types: With dependent children","Number of cars or vans in household: No cars or vans",554,
,,,"Number of cars or vans in household: One car or van",864,
,,,"Number of cars or vans in household: Two or more cars or vans",799,
,,"Other household types: Other (including all full-time students and all aged 66 and over)","Number of cars or vans in household: No cars or vans",686,
,,,"Number of cars or vans in household: One car or van",420,
,,,"Number of cars or vans in household: Two or more cars or vans",430,
,"Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","One person household: Aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One person household: Aged under 66","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: All aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: No children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: With dependent children","Number of cars or vans in household: No cars or vans",81,
,,,"Number of cars or vans in household: One car or van",293,
,,,"Number of cars or vans in household: Two or more cars or vans",271,
,,"One family household: Couple family: All children non-dependent","Number of cars or vans in household: No cars or vans",5,
,,,"Number of cars or vans in household: One car or van",10,
,,,"Number of cars or vans in household: Two or more cars or vans",20,
,,"One family household: Lone parent: With dependent children","Number of cars or vans in household: No cars or vans",20,
,,,"Number of cars or vans in household: One car or van",20,
,,,"Number of cars or vans in household: Two or more cars or vans",7,
,,"One family household: Lone parent: All children non-dependent","Number of cars or vans in household: No cars or vans",4,
,,,"Number of cars or vans in household: One car or van",1,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"Other household types: With dependent children","Number of cars or vans in household: No cars or vans",31,
,,,"Number of cars or vans in household: One car or van",43,
,,,"Number of cars or vans in household: Two or more cars or vans",115,
,,"Other household types: Other (including all full-time students and all aged 66 and over)","Number of cars or vans in household: No cars or vans",72,
,,,"Number of cars or vans in household: One car or van",51,
,,,"Number of cars or vans in household: Two or more cars or vans",57,
,"Flat, maisonette or apartment: In a commercial building","One person household: Aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One person household: Aged under 66","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: All aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: No children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: With dependent children","Number of cars or vans in household: No cars or vans",40,
,,,"Number of cars or vans in household: One car or van",87,
,,,"Number of cars or vans in household: Two or more cars or vans",82,
,,"One family household: Couple family: All children non-dependent","Number of cars or vans in household: No cars or vans",1,
,,,"Number of cars or vans in household: One car or van",5,
,,,"Number of cars or vans in household: Two or more cars or vans",11,
,,"One family household: Lone parent: With dependent children","Number of cars or vans in household: No cars or vans",11,
,,,"Number of cars or vans in household: One car or van",5,
,,,"Number of cars or vans in household: Two or more cars or vans",2,
,,"One family household: Lone parent: All children non-dependent","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"Other household types: With dependent children","Number of cars or vans in household: No cars or vans",5,
,,,"Number of cars or vans in household: One car or van",15,
,,,"Number of cars or vans in household: Two or more cars or vans",32,
,,"Other household types: Other (including all full-time students and all aged 66 and over)","Number of cars or vans in household: No cars or vans",30,
,,,"Number of cars or vans in household: One car or van",19,
,,,"Number of cars or vans in household: Two or more cars or vans",15,
,"Caravan or other mobile or temporary structure","One person household: Aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One person household: Aged under 66","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: All aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: No children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: With dependent children","Number of cars or vans in household: No cars or vans",11,
,,,"Number of cars or vans in household: One car or van",30,
,,,"Number of cars or vans in household: Two or more cars or vans",44,
,,"One family household: Couple family: All children non-dependent","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",2,
,,"One family household: Lone parent: With dependent children","Number of cars or vans in household: No cars or vans",2,
,,,"Number of cars or vans in household: One car or van",5,
,,,"Number of cars or vans in household: Two or more cars or vans",2,
,,"One family household: Lone parent: All children non-dependent","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"Other household types: With dependent children","Number of cars or vans in household: No cars or vans",9,
,,,"Number of cars or vans in household: One car or van",3,
,,,"Number of cars or vans in household: Two or more cars or vans",16,
,,"Other household types: Other (including all full-time students and all aged 66 and over)","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",3,
"Total","Whole house or bungalow: Detached","One person household: Aged 66 and over","Number of cars or vans in household: No cars or vans",20478,
,,,"Number of cars or vans in household: One car or van",47182,
,,,"Number of cars or vans in household: Two or more cars or vans",4576,
,,"One person household: Aged under 66","Number of cars or vans in household: No cars or vans",8216,
,,,"Number of cars or vans in household: One car or van",34722,
,,,"Number of cars or vans in household: Two or more cars or vans",8003,
,,"One family household: All aged 66 and over","Number of cars or vans in household: No cars or vans",3702,
,,,"Number of cars or vans in household: One car or van",45769,
,,,"Number of cars or vans in household: Two or more cars or vans",40864,
,,"One family household: Couple family: No children","Number of cars or vans in household: No cars or vans",2224,
,,,"Number of cars or vans in household: One car or van",35743,
,,,"Number of cars or vans in household: Two or more cars or vans",91969,
,,"One family household: Couple family: With dependent children","Number of cars or vans in household: No cars or vans",1536,
,,,"Number of cars or vans in household: One car or van",28506,
,,,"Number of cars or vans in household: Two or more cars or vans",118514,
,,"One family household: Couple family: All children non-dependent","Number of cars or vans in household: No cars or vans",836,
,,,"Number of cars or vans in household: One car or van",5987,
,,,"Number of cars or vans in household: Two or more cars or vans",47188,
,,"One family household: Lone parent: With dependent children","Number of cars or vans in household: No cars or vans",1892,
,,,"Number of cars or vans in household: One car or van",9934,
,,,"Number of cars or vans in household: Two or more cars or vans",4220,
,,"One family household: Lone parent: All children non-dependent","Number of cars or vans in household: No cars or vans",1621,
,,,"Number of cars or vans in household: One car or van",5856,
,,,"Number of cars or vans in household: Two or more cars or vans",8447,
,,"Other household types: With dependent children","Number of cars or vans in household: No cars or vans",360,
,,,"Number of cars or vans in household: One car or van",1837,
,,,"Number of cars or vans in household: Two or more cars or vans",8612,
,,"Other household types: Other (including all full-time students and all aged 66 and over)","Number of cars or vans in household: No cars or vans",746,
,,,"Number of cars or vans in household: One car or van",2713,
,,,"Number of cars or vans in household: Two or more cars or vans",8440,
,"Whole house or bungalow: Semi-detached","One person household: Aged 66 and over","Number of cars or vans in household: No cars or vans",40868,
,,,"Number of cars or vans in household: One car or van",42239,
,,,"Number of cars or vans in household: Two or more cars or vans",1950,
,,"One person household: Aged under 66","Number of cars or vans in household: No cars or vans",25786,
,,,"Number of cars or vans in household: One car or van",55534,
,,,"Number of cars or vans in household: Two or more cars or vans",7045,
,,"One family household: All aged 66 and over","Number of cars or vans in household: No cars or vans",6638,
,,,"Number of cars or vans in household: One car or van",38251,
,,,"Number of cars or vans in household: Two or more cars or vans",13026,
,,"One family household: Couple family: No children","Number of cars or vans in household: No cars or vans",5516,
,,,"Number of cars or vans in household: One car or van",43578,
,,,"Number of cars or vans in household: Two or more cars or vans",57960,
,,"One family household: Couple family: With dependent children","Number of cars or vans in household: No cars or vans",4579,
,,,"Number of cars or vans in household: One car or van",38033,
,,,"Number of cars or vans in household: Two or more cars or vans",69564,
,,"One family household: Couple family: All children non-dependent","Number of cars or vans in household: No cars or vans",2174,
,,,"Number of cars or vans in household: One car or van",10484,
,,,"Number of cars or vans in household: Two or more cars or vans",33277,
,,"One family household: Lone parent: With dependent children","Number of cars or vans in household: No cars or vans",9455,
,,,"Number of cars or vans in household: One car or van",22879,
,,,"Number of cars or vans in household: Two or more cars or vans",4919,
,,"One family household: Lone parent: All children non-dependent","Number of cars or vans in household: No cars or vans",6909,
,,,"Number of cars or vans in household: One car or van",12359,
,,,"Number of cars or vans in household: Two or more cars or vans",9735,
,,"Other household types: With dependent children","Number of cars or vans in household: No cars or vans",1145,
,,,"Number of cars or vans in household: One car or van",3270,
,,,"Number of cars or vans in household: Two or more cars or vans",5514,
,,"Other household types: Other (including all full-time students and all aged 66 and over)","Number of cars or vans in household: No cars or vans",2263,
,,,"Number of cars or vans in household: One car or van",4225,
,,,"Number of cars or vans in household: Two or more cars or vans",5607,
,"Whole house or bungalow: Terraced (including end-terrace)","One person household: Aged 66 and over","Number of cars or vans in household: No cars or vans",39922,
,,,"Number of cars or vans in household: One car or van",28980,
,,,"Number of cars or vans in household: Two or more cars or vans",1114,
,,"One person household: Aged under 66","Number of cars or vans in household: No cars or vans",28758,
,,,"Number of cars or vans in household: One car or van",50311,
,,,"Number of cars or vans in household: Two or more cars or vans",4642,
,,"One family household: All aged 66 and over","Number of cars or vans in household: No cars or vans",6802,
,,,"Number of cars or vans in household: One car or van",25453,
,,,"Number of cars or vans in household: Two or more cars or vans",5359,
,,"One family household: Couple family: No children","Number of cars or vans in household: No cars or vans",6104,
,,,"Number of cars or vans in household: One car or van",36218,
,,,"Number of cars or vans in household: Two or more cars or vans",33929,
,,"One family household: Couple family: With dependent children","Number of cars or vans in household: No cars or vans",4760,
,,,"Number of cars or vans in household: One car or van",32085,
,,,"Number of cars or vans in household: Two or more cars or vans",41543,
,,"One family household: Couple family: All children non-dependent","Number of cars or vans in household: No cars or vans",2318,
,,,"Number of cars or vans in household: One car or van",9337,
,,,"Number of cars or vans in household: Two or more cars or vans",20413,
,,"One family household: Lone parent: With dependent children","Number of cars or vans in household: No cars or vans",9859,
,,,"Number of cars or vans in household: One car or van",21903,
,,,"Number of cars or vans in household: Two or more cars or vans",4007,
,,"One family household: Lone parent: All children non-dependent","Number of cars or vans in household: No cars or vans",7104,
,,,"Number of cars or vans in household: One car or van",11430,
,,,"Number of cars or vans in household: Two or more cars or vans",7544,
,,"Other household types: With dependent children","Number of cars or vans in household: No cars or vans",1092,
,,,"Number of cars or vans in household: One car or van",2832,
,,,"Number of cars or vans in household: Two or more cars or vans",3571,
,,"Other household types: Other (including all full-time students and all aged 66 and over)","Number of cars or vans in household: No cars or vans",2197,
,,,"Number of cars or vans in household: One car or van",3773,
,,,"Number of cars or vans in household: Two or more cars or vans",3949,
,"Flat, maisonette or apartment: Purpose-built block of flats or tenement","One person household: Aged 66 and over","Number of cars or vans in household: No cars or vans",82882,
,,,"Number of cars or vans in household: One car or van",39157,
,,,"Number of cars or vans in household: Two or more cars or vans",1153,
,,"One person household: Aged under 66","Number of cars or vans in household: No cars or vans",182810,
,,,"Number of cars or vans in household: One car or van",139751,
,,,"Number of cars or vans in household: Two or more cars or vans",8427,
,,"One family household: All aged 66 and over","Number of cars or vans in household: No cars or vans",8187,
,,,"Number of cars or vans in household: One car or van",16711,
,,,"Number of cars or vans in household: Two or more cars or vans",2721,
,,"One family household: Couple family: No children","Number of cars or vans in household: No cars or vans",30981,
,,,"Number of cars or vans in household: One car or van",54941,
,,,"Number of cars or vans in household: Two or more cars or vans",26340,
,,"One family household: Couple family: With dependent children","Number of cars or vans in household: No cars or vans",15334,
,,,"Number of cars or vans in household: One car or van",32232,
,,,"Number of cars or vans in household: Two or more cars or vans",16219,
,,"One family household: Couple family: All children non-dependent","Number of cars or vans in household: No cars or vans",3194,
,,,"Number of cars or vans in household: One car or van",6554,
,,,"Number of cars or vans in household: Two or more cars or vans",7053,
,,"One family household: Lone parent: With dependent children","Number of cars or vans in household: No cars or vans",27410,
,,,"Number of cars or vans in household: One car or van",24649,
,,,"Number of cars or vans in household: Two or more cars or vans",2675,
,,"One family household: Lone parent: All children non-dependent","Number of cars or vans in household: No cars or vans",13734,
,,,"Number of cars or vans in household: One car or van",12213,
,,,"Number of cars or vans in household: Two or more cars or vans",5124,
,,"Other household types: With dependent children","Number of cars or vans in household: No cars or vans",2549,
,,,"Number of cars or vans in household: One car or van",3047,
,,,"Number of cars or vans in household: Two or more cars or vans",1886,
,,"Other household types: Other (including all full-time students and all aged 66 and over)","Number of cars or vans in household: No cars or vans",22539,
,,,"Number of cars or vans in household: One car or van",15298,
,,,"Number of cars or vans in household: Two or more cars or vans",7730,
,"Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","One person household: Aged 66 and over","Number of cars or vans in household: No cars or vans",2979,
,,,"Number of cars or vans in household: One car or van",2970,
,,,"Number of cars or vans in household: Two or more cars or vans",167,
,,"One person household: Aged under 66","Number of cars or vans in household: No cars or vans",5064,
,,,"Number of cars or vans in household: One car or van",6965,
,,,"Number of cars or vans in household: Two or more cars or vans",649,
,,"One family household: All aged 66 and over","Number of cars or vans in household: No cars or vans",278,
,,,"Number of cars or vans in household: One car or van",1517,
,,,"Number of cars or vans in household: Two or more cars or vans",753,
,,"One family household: Couple family: No children","Number of cars or vans in household: No cars or vans",1050,
,,,"Number of cars or vans in household: One car or van",3584,
,,,"Number of cars or vans in household: Two or more cars or vans",2981,
,,"One family household: Couple family: With dependent children","Number of cars or vans in household: No cars or vans",362,
,,,"Number of cars or vans in household: One car or van",2065,
,,,"Number of cars or vans in household: Two or more cars or vans",1936,
,,"One family household: Couple family: All children non-dependent","Number of cars or vans in household: No cars or vans",65,
,,,"Number of cars or vans in household: One car or van",395,
,,,"Number of cars or vans in household: Two or more cars or vans",760,
,,"One family household: Lone parent: With dependent children","Number of cars or vans in household: No cars or vans",338,
,,,"Number of cars or vans in household: One car or van",787,
,,,"Number of cars or vans in household: Two or more cars or vans",133,
,,"One family household: Lone parent: All children non-dependent","Number of cars or vans in household: No cars or vans",187,
,,,"Number of cars or vans in household: One car or van",382,
,,,"Number of cars or vans in household: Two or more cars or vans",274,
,,"Other household types: With dependent children","Number of cars or vans in household: No cars or vans",88,
,,,"Number of cars or vans in household: One car or van",149,
,,,"Number of cars or vans in household: Two or more cars or vans",203,
,,"Other household types: Other (including all full-time students and all aged 66 and over)","Number of cars or vans in household: No cars or vans",992,
,,,"Number of cars or vans in household: One car or van",674,
,,,"Number of cars or vans in household: Two or more cars or vans",517,
,"Flat, maisonette or apartment: In a commercial building","One person household: Aged 66 and over","Number of cars or vans in household: No cars or vans",453,
,,,"Number of cars or vans in household: One car or van",413,
,,,"Number of cars or vans in household: Two or more cars or vans",34,
,,"One person household: Aged under 66","Number of cars or vans in household: No cars or vans",2041,
,,,"Number of cars or vans in household: One car or van",1667,
,,,"Number of cars or vans in household: Two or more cars or vans",165,
,,"One family household: All aged 66 and over","Number of cars or vans in household: No cars or vans",54,
,,,"Number of cars or vans in household: One car or van",183,
,,,"Number of cars or vans in household: Two or more cars or vans",67,
,,"One family household: Couple family: No children","Number of cars or vans in household: No cars or vans",400,
,,,"Number of cars or vans in household: One car or van",717,
,,,"Number of cars or vans in household: Two or more cars or vans",512,
,,"One family household: Couple family: With dependent children","Number of cars or vans in household: No cars or vans",146,
,,,"Number of cars or vans in household: One car or van",438,
,,,"Number of cars or vans in household: Two or more cars or vans",327,
,,"One family household: Couple family: All children non-dependent","Number of cars or vans in household: No cars or vans",27,
,,,"Number of cars or vans in household: One car or van",82,
,,,"Number of cars or vans in household: Two or more cars or vans",196,
,,"One family household: Lone parent: With dependent children","Number of cars or vans in household: No cars or vans",206,
,,,"Number of cars or vans in household: One car or van",225,
,,,"Number of cars or vans in household: Two or more cars or vans",38,
,,"One family household: Lone parent: All children non-dependent","Number of cars or vans in household: No cars or vans",109,
,,,"Number of cars or vans in household: One car or van",116,
,,,"Number of cars or vans in household: Two or more cars or vans",75,
,,"Other household types: With dependent children","Number of cars or vans in household: No cars or vans",25,
,,,"Number of cars or vans in household: One car or van",40,
,,,"Number of cars or vans in household: Two or more cars or vans",53,
,,"Other household types: Other (including all full-time students and all aged 66 and over)","Number of cars or vans in household: No cars or vans",418,
,,,"Number of cars or vans in household: One car or van",252,
,,,"Number of cars or vans in household: Two or more cars or vans",169,
,"Caravan or other mobile or temporary structure","One person household: Aged 66 and over","Number of cars or vans in household: No cars or vans",293,
,,,"Number of cars or vans in household: One car or van",524,
,,,"Number of cars or vans in household: Two or more cars or vans",54,
,,"One person household: Aged under 66","Number of cars or vans in household: No cars or vans",343,
,,,"Number of cars or vans in household: One car or van",564,
,,,"Number of cars or vans in household: Two or more cars or vans",128,
,,"One family household: All aged 66 and over","Number of cars or vans in household: No cars or vans",41,
,,,"Number of cars or vans in household: One car or van",420,
,,,"Number of cars or vans in household: Two or more cars or vans",121,
,,"One family household: Couple family: No children","Number of cars or vans in household: No cars or vans",38,
,,,"Number of cars or vans in household: One car or van",361,
,,,"Number of cars or vans in household: Two or more cars or vans",368,
,,"One family household: Couple family: With dependent children","Number of cars or vans in household: No cars or vans",43,
,,,"Number of cars or vans in household: One car or van",96,
,,,"Number of cars or vans in household: Two or more cars or vans",220,
,,"One family household: Couple family: All children non-dependent","Number of cars or vans in household: No cars or vans",5,
,,,"Number of cars or vans in household: One car or van",34,
,,,"Number of cars or vans in household: Two or more cars or vans",108,
,,"One family household: Lone parent: With dependent children","Number of cars or vans in household: No cars or vans",25,
,,,"Number of cars or vans in household: One car or van",57,
,,,"Number of cars or vans in household: Two or more cars or vans",9,
,,"One family household: Lone parent: All children non-dependent","Number of cars or vans in household: No cars or vans",19,
,,,"Number of cars or vans in household: One car or van",48,
,,,"Number of cars or vans in household: Two or more cars or vans",34,
,,"Other household types: With dependent children","Number of cars or vans in household: No cars or vans",22,
,,,"Number of cars or vans in household: One car or van",8,
,,,"Number of cars or vans in household: Two or more cars or vans",21,
,,"Other household types: Other (including all full-time students and all aged 66 and over)","Number of cars or vans in household: No cars or vans",25,
,,,"Number of cars or vans in household: One car or van",29,
,,,"Number of cars or vans in household: Two or more cars or vans",27,

"Dataset: <a href=""https://www.scotlandscensus.gov.uk/about/2022-census/statistical-methodology/statistical-disclosure-control/"">Privacy controls</a> are applied to all census tables.<br/> Our <a href=""https://www.scotlandscensus.gov.uk/about/2022-census/flexible-table-builder-user-guide/"">user guide</a> are applied to all census tables.<br/> Check our <a href=""https://www.scotlandscensus.gov.uk/about/2022-census/working-with-census-statistics/"">tips</a> on making comparisons with census data."

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data."


(c) Copyright WingArc Australia 2018
